0@0#-0.010555423661220519#0 0#-0.018368162586972867#0 0#-0.015303400874533604#0 0#-0.023805036257811482#0 0#-0.012906213707947192#0 0#-0.0032111267409575543#0 0#-0.012101709208209693#0 0#-0.01270178359452595#0 0#-0.0042838806138569135#0 0#-0.003860834278469443#0 0#-0.009860452869931554#0 0#-0.002390694509790409#0 0#-0.0040141360046573255#0 0#-0.0012146303773578225#0 0#-0.003006934081784726#0 0#-0.022050217069356712#0 0#-0.027828709553479332#0 0#-0.0025761871149589193#0 0#-0.012219650112079516#0 0#-0.007660523796116926#0 0#-0.0014254538247429178#0 0#-0.009453051217638309#0 0#-0.04014385220965218#0 0#-0.001948517749728477#0 0#-0.01050474428518419#0 0#-0.02108546080505212#0 0#-0.0020649359757190637#0 0#-0.002366290019712947#0 0#-0.0017399745661547167#0 0#-0.0014881064660897565#0
1@0#-0.018368162586972867#0 0#-0.010555423661220519#0 0#-0.040223170555072046#0 0#-0.003083727033311348#0 0#-0.0018887622327514197#0 0#-0.022819582692643815#0 0#-0.0019452068150464562#0 0#-0.03618385815977822#0 0#-0.025019528348601144#0 0#-0.006221676104898603#0 0#-0.025710301554316136#0 0#-0.010214939124608458#0 0#-0.013607279289688244#0 0#-0.015342835837202109#0 0#-0.024715806008474197#0 0#-0.0020317547403935986#0 0#-0.05752882822986447#0 0#-0.007575211721179423#0 0#-0.0031088546198997148#0 0#-0.034721516779060865#0 0#-0.017952668480181417#0 0#-0.028316137265486614#0 0#-0.021971985967216164#0 0#-0.011928798382437798#0 0#-0.026847228925802893#0 0#-0.04521757620007068#0 0#-0.022024004276065275#0 0#-0.01192006704201254#0 0#-0.019673968282925693#0 0#-0.014039134196148082#0
2@0#-0.015303400874533604#0 0#-0.040223170555072046#0 0#-0.010555423661220519#0 0#-0.045531984695925586#0 0#-0.033084935474425925#0 0#-0.004557540636823542#0 0#-0.03442248424570524#0 0#-0.002272832118666236#0 0#-0.010555423661220519#0 0#-0.022029194872897586#0 0#-0.004102696166896738#0 0#-0.02040971607460485#0 0#-0.008011535372937228#0 0#-0.012264518891373416#0 0#-0.0069787643069734#0 0#-0.04500841862619134#0 0#-0.008759038799076814#0 0#-0.0185540504045393#0 0#-0.039317013719797775#0 0#-0.001568873012006812#0 0#-0.016343783183288507#0 0#-0.006961580833367824#0 0#-0.06557896028055797#0 0#-0.01726356111313452#0 0#-0.0029715810886181923#0 0#-0.004123716387162043#0 0#-0.010718705082015213#0 0#-0.020587639826528184#0 0#-0.013058063385859334#0 0#-0.013262310427275556#0
3@0#-0.023805036257811482#0 0#-0.003083727033311348#0 0#-0.045531984695925586#0 0#-0.010555423661220519#0 0#-0.007223954276317476#0 0#-0.02911156078556636#0 0#-0.0036549371143317832#0 0#-0.044225928383296136#0 0#-0.028843162175902395#0 0#-0.01307719624332262#0 0#-0.03443674231989487#0 0#-0.015987738360921287#0 0#-0.02062327748863927#0 0#-0.022512565381471197#0 0#-0.029534663786365805#0 0#-0.001996763577998179#0 0#-0.06262585269549763#0 0#-0.013968949546957389#0 0#-0.0021460121139090264#0 0#-0.039165411425484124#0 0#-0.02237376107482865#0 0#-0.03246180373244134#0 0#-0.015166295640177437#0 0#-0.01860304351669675#0 0#-0.03574890413914153#0 0#-0.05031543673307664#0 0#-0.027291438010664963#0 0#-0.017833572547400426#0 0#-0.025007407029584636#0 0#-0.020421247853260393#0
4@0#-0.012906213707947192#0 0#-0.0018887622327514197#0 0#-0.033084935474425925#0 0#-0.007223954276317476#0 0#-0.010555423661220519#0 0#-0.01659977635319893#0 0#-0.0020493167345870546#0 0#-0.02896185935517232#0 0#-0.019744379726139426#0 0#-0.00246037902189655#0 0#-0.022502469110690742#0 0#-0.0036394520709280144#0 0#-0.009101380529313264#0 0#-0.009586835746106531#0 0#-0.018960121602288948#0 0#-0.004243620429861757#0 0#-0.0503554091453446#0 0#-0.00370277448026054#0 0#-0.007694041329385545#0 0#-0.02822095567925886#0 0#-0.01297130385113216#0 0#-0.02301824425213212#0 0#-0.02890472859276634#0 0#-0.005479223537958341#0 0#-0.021517248731374682#0 0#-0.03996646751409115#0 0#-0.015973152567753526#0 0#-0.005288138540456383#0 0#-0.01422296520539541#0 0#-0.0075710948120627465#0
5@0#-0.0032111267409575543#0 0#-0.022819582692643815#0 0#-0.004557540636823542#0 0#-0.02911156078556636#0 0#-0.01659977635319893#0 0#-0.010555423661220519#0 0#-0.01730818446816929#0 0#-0.00407770582893948#0 0#-0.0017829744095566717#0 0#-0.008751710241168418#0 0#-0.005330605987888963#0 0#-0.007092874719859263#0 0#-0.0034318361322580536#0 0#-0.002853635141339262#0 0#-0.0014888483604086182#0 0#-0.027089296076637757#0 0#-0.01305865104929651#0 0#-0.006429632984844386#0 0#-0.020738336689681558#0 0#-0.0017116450569107445#0 0#-0.0036686766117145653#0 0#-0.002491723103623902#0 0#-0.0513629329879397#0 0#-0.005481833338984046#0 0#-0.00418205844370364#0 0#-0.007426953900385917#0 0#-0.0016568530448218045#0 0#-0.006864010409712892#0 0#-0.0026773434413132745#0 0#-0.003041249926050577#0
6@0#-0.012101709208209693#0 0#-0.0019452068150464562#0 0#-0.03442248424570524#0 0#-0.0036549371143317832#0 0#-0.0020493167345870546#0 0#-0.01730818446816929#0 0#-0.010555423661220519#0 0#-0.03122031819018929#0 0#-0.018816302388463366#0 0#-0.0047759314700582985#0 0#-0.024360768908756544#0 0#-0.006185290174991023#0 0#-0.011361907385829558#0 0#-0.011628320747726661#0 0#-0.018659881870518244#0 0#-0.0026632015090520124#0 0#-0.05157590332103718#0 0#-0.00552172405306843#0 0#-0.0034074239530230217#0 0#-0.027882537662283595#0 0#-0.012449662587675171#0 0#-0.022260974930041942#0 0#-0.0226226624420387#0 0#-0.007821705966719331#0 0#-0.024907395610900433#0 0#-0.04023852516476769#0 0#-0.015773091777469765#0 0#-0.007384292341298193#0 0#-0.014029707796699984#0 0#-0.009156439150200705#0
7@0#-0.01270178359452595#0 0#-0.03618385815977822#0 0#-0.002272832118666236#0 0#-0.044225928383296136#0 0#-0.02896185935517232#0 0#-0.00407770582893948#0 0#-0.03122031819018929#0 0#-0.010555423661220519#0 0#-0.007616088243206826#0 0#-0.01810807933594826#0 0#-0.003264106443177066#0 0#-0.016989171374764567#0 0#-0.006458506529127974#0 0#-0.010040281071006891#0 0#-0.00535743359849843#0 0#-0.04144592234145664#0 0#-0.0055568769166817154#0 0#-0.015344282165324333#0 0#-0.03655874171613146#0 0#-0.002582123678469548#0 0#-0.01348613956664801#0 0#-0.005112978913895822#0 0#-0.06551008715166286#0 0#-0.014230756363683818#0 0#-0.0024657263069287868#0 0#-0.002445499907381701#0 0#-0.00808822623510569#0 0#-0.01787400115491462#0 0#-0.010231564079690704#0 0#-0.010468315203642779#0
8@0#-0.0042838806138569135#0 0#-0.025019528348601144#0 0#-0.010555423661220519#0 0#-0.028843162175902395#0 0#-0.019744379726139426#0 0#-0.0017829744095566717#0 0#-0.018816302388463366#0 0#-0.007616088243206826#0 0#-0.010555423661220519#0 0#-0.014176599939338817#0 0#-0.007642217708568397#0 0#-0.012482445520581139#0 0#-0.0038597109013775587#0 0#-0.0037688132247718125#0 0#-0.0013365384615384639#0 0#-0.027301176387714822#0 0#-0.018762472179987208#0 0#-0.00994085612968589#0 0#-0.01829655791641547#0 0#-0.0035387199434229045#0 0#-0.00377380952380956#0 0#-0.0020187028363257606#0 0#-0.04528838892385158#0 0#-0.009027770900387904#0 0#-0.006687213884562704#0 0#-0.012198380171740809#0 0#-0.0014290164663996665#0 0#-0.011541568008418846#0 0#-0.0020545895989974817#0 0#-0.0057113243307273#0
9@0#-0.003860834278469443#0 0#-0.006221676104898603#0 0#-0.022029194872897586#0 0#-0.01307719624332262#0 0#-0.00246037902189655#0 0#-0.008751710241168418#0 0#-0.0047759314700582985#0 0#-0.01810807933594826#0 0#-0.014176599939338817#0 0#-0.010555423661220519#0 0#-0.014584209590699773#0 0#-0.0013773146363155247#0 0#-0.005840415787337217#0 0#-0.0027352095090370974#0 0#-0.01181258831632699#0 0#-0.009828164717312106#0 0#-0.03886222147881129#0 0#-0.0012604576049148415#0 0#-0.009887185671925243#0 0#-0.016708485737108737#0 0#-0.008018176975183346#0 0#-0.018007422296474177#0 0#-0.03592951191110844#0 0#-0.0015786546931746566#0 0#-0.01432990952973136#0 0#-0.031399655968292174#0 0#-0.008693969879159434#0 0#-0.0015427385016011444#0 0#-0.006777914631323597#0 0#-0.002161300715108095#0
10@0#-0.009860452869931554#0 0#-0.025710301554316136#0 0#-0.004102696166896738#0 0#-0.03443674231989487#0 0#-0.022502469110690742#0 0#-0.005330605987888963#0 0#-0.024360768908756544#0 0#-0.003264106443177066#0 0#-0.007642217708568397#0 0#-0.014584209590699773#0 0#-0.010555423661220519#0 0#-0.0144459513864185#0 0#-0.006291085714466428#0 0#-0.009462762648462393#0 0#-0.005978128781034196#0 0#-0.03178486964487685#0 0#-0.004031916077021451#0 0#-0.013032814023058063#0 0#-0.027980801437798655#0 0#-0.004358879608339977#0 0#-0.010068504099902202#0 0#-0.006273392380804387#0 0#-0.06659532579168727#0 0#-0.012361313032582154#0 0#-0.002777960441336024#0 0#-0.0038105217694386143#0 0#-0.00739575797394597#0 0#-0.013937729657074552#0 0#-0.008651361569405349#0 0#-0.009020880982135139#0
